incident_name,incident_created_year,incident_created_month,incident_created_day,incident_created_hour,incident_created_minute,incident_acres_burned,incident_longitude,incident_latitude,incident_extinguished_year,incident_extinguished_month,incident_extinguished_day,incident_extinguished_hour,incident_extinguished_minute
Washington Fire,2015,06,19,19,00,0,-119.751944,38.598056,2015,06,22,12,05
Red Fire,2015,06,21,12,08,135,-119.6958,37.072561,2015,06,23,18,25
Calgrove Fire ,2015,06,24,13,22,415,-118.535793,34.361007,2015,06,26,17,00
Loma Fire,2015,06,24,16,15,533,-121.833751,37.974123,2015,06,25,09,00
Sterling Fire,2015,06,25,18,30,100,-117.243878,34.165974,2015,06,29,09,00
Otay Fire,2015,06,26,16,06,80,-116.9454387,32.6449163,2015,06,26,22,15
Pleasure Fire,2015,06,27,12,51,19,-122.181878,38.519132,2015,06,28,18,00
Covelo Fire,2015,06,28,13,30,35,-123.248214,39.7806004,2015,06,29,07,15
Soda Fire,2015,07,04,15,30,23,-123.303,39.0263,2015,07,05,09,00
Black Fire,2015,07,04,16,33,170,-122.3638,39.8448,2015,07,04,20,15
Sky Fire,2015,07,06,10,47,150,-122.0789,38.4113,2015,07,08,20,45
Keswick Fire,2015,07,07,12,34,18,-122.4397,40.5953,2015,07,08,16,30
Deer Fire,2015,07,10,12,41,95,-121.0157,35.7183,2015,07,15,07,00
Ascot Fire,2015,07,10,13,36,40,-122.1578,38.1029,2015,07,10,17,00
Spider Fire,2015,07,12,13,52,21,-117.43942,33.986204,2015,07,12,19,48
Mill 2 Fire,2015,07,12,14,46,54,-117.0487863,34.0783472,2015,07,21,07,20
241 Fire,2015,07,13,10,47,214,-117.7274,33.7626,2015,07,15,18,45
Cooley Fire,2015,07,13,17,56,181,-122.5029,41.8048,2015,07,14,08,30
Lake Fire,2015,07,16,11,30,25,-116.73472,33.21407,2015,07,17,15,15
North Fire,2015,07,17,14,33,4250,-117.478,34.339,2015,07,21,07,00
Pines Fire ,2015,07,17,21,30,200,-117.683,34.367,2015,08,04,08,15
Cabin Fire,2015,07,19,08,00,6980,-118.54,36.24,2015,09,05,18,00
Betabel Fire,2015,07,20,13,23,25,-121.5681,36.8727,2015,07,20,15,30
Triple Fire,2015,07,21,12,35,430,-118.824235,36.085212,2015,07,26,10,30
Dorris Fire,2015,07,21,17,00,24,-121.891226,41.999341,2015,07,22,17,00
Wragg Fire,2015,07,22,14,24,8051,-122.1145,38.4994,2015,08,05,17,30
Baxter Fire,2015,07,22,18,17,26,-121.1548,38.9361,2015,07,22,19,50
Kyburz Fire,2015,07,23,14,00,75,-120.404,38.776,2015,07,29,14,15
3-11 Fire,2015,07,23,16,40,116,-121.172117,41.29226,2015,07,26,10,10
3-12 Fire,2015,07,23,17,30,77,-121.101623,40.856422,2015,07,25,22,00
Park Fire,2015,07,24,12,43,25,-116.51684,32.682547,2015,07,25,16,05
Cutca Fire,2015,07,24,16,18,167,-116.868611,33.383889,2015,07,26,06,45
Queen Fire,2015,07,24,23,00,158,-123.784067,41.295667,2015,08,01,21,45
Willow Fire,2015,07,25,14,30,5702,-119.50014,37.279722,2015,08,13,10,30
Lowell Fire,2015,07,25,14,37,2304,-120.882313,39.192088,2015,08,12,19,15
Sullivan Fire,2015,07,28,12,10,40,-121.20324,37.24523,2015,07,28,15,00
Buck Fire,2015,07,28,17,19,16,-123.774,40.1093,2015,07,31,19,00
Swedes Fire,2015,07,29,11,25,400,-121.38794,39.43963,2015,08,03,17,00
Rocky Fire,2015,07,29,15,29,69636,-122.4762475,38.8863538,2015,08,14,18,15
Mallard Fire,2015,07,29,16,30,75,-122.199227,40.509552,2015,07,31,18,40
Big Creek Fire,2015,07,29,16,30,204,-120.15644,37.823,2015,08,04,18,00
